"","Site","Well","Signal","Value","Experiment","Leaf"
"330","1;3","A11","mTurquoise",79,"AT4G13780","Set1_Leaf_I"
"331","1;3","A11","mScarlet",302,"AT4G13780","Set1_Leaf_I"
"332","1;3","A11","YB_Ratio",22.1645569620253,"AT4G13780","Set1_Leaf_I"
"333","1;3","A12","yfp",1762,"AT4G13780","Set1_Leaf_I"
"334","1;3","A12","mTurquoise",94,"AT4G13780","Set1_Leaf_I"
"335","1;3","A12","mScarlet",407,"AT4G13780","Set1_Leaf_I"
"336","1;3","A12","YB_Ratio",18.7446808510638,"AT4G13780","Set1_Leaf_I"
"337","1;3","B1","yfp",1726,"AT2G29080","Set1_Leaf_B"
"338","1;3","B1","mTurquoise",38,"AT2G29080","Set1_Leaf_B"
"339","1;3","B1","mScarlet",325,"AT2G29080","Set1_Leaf_B"
"340","1;3","B1","YB_Ratio",45.4210526315789,"AT2G29080","Set1_Leaf_B"
"341","1;3","B2","yfp",1890,"AT2G29080","Set1_Leaf_B"
"342","1;3","B2","mTurquoise",39,"AT2G29080","Set1_Leaf_B"
"343","1;3","B2","mScarlet",321,"AT2G29080","Set1_Leaf_B"
"344","1;3","B2","YB_Ratio",48.4615384615385,"AT2G29080","Set1_Leaf_B"
"345","1;3","B3","yfp",3101,"AT1G64550","Set1_Leaf_B"
"346","1;3","B3","mTurquoise",51,"AT1G64550","Set1_Leaf_B"
"347","1;3","B3","mScarlet",513,"AT1G64550","Set1_Leaf_B"
