"","Site","Well","Signal","Value","Experiment","Leaf"
"190","1;2","D12","mTurquoise",66,"AT3G08530(r7,r5)+gRNA_r7+gRNA_5","Set6_Leaf_F"
"191","1;2","D12","mScarlet",310,"AT3G08530(r7,r5)+gRNA_r7+gRNA_5","Set6_Leaf_F"
"192","1;2","D12","YB_Ratio",32.5606060606061,"AT3G08530(r7,r5)+gRNA_r7+gRNA_5","Set6_Leaf_F"
"193","1;2","E1","yfp",4001,"AT2G26780(A,B)+gRNA_r3","Set6_Leaf_A"
"194","1;2","E1","mTurquoise",59,"AT2G26780(A,B)+gRNA_r3","Set6_Leaf_A"
"195","1;2","E1","mScarlet",314,"AT2G26780(A,B)+gRNA_r3","Set6_Leaf_A"
"196","1;2","E1","YB_Ratio",67.8135593220339,"AT2G26780(A,B)+gRNA_r3","Set6_Leaf_A"
"197","1;2","E2","yfp",3899,"AT2G26780(A,B)+gRNA_r3","Set6_Leaf_A"
"198","1;2","E2","mTurquoise",66,"AT2G26780(A,B)+gRNA_r3","Set6_Leaf_A"
"199","1;2","E2","mScarlet",367,"AT2G26780(A,B)+gRNA_r3","Set6_Leaf_A"
"200","1;2","E2","YB_Ratio",59.0757575757576,"AT2G26780(A,B)+gRNA_r3","Set6_Leaf_A"
"201","1;2","E3","yfp",3287,"AT2G26780(A,B)+gRNA_r3","Set6_Leaf_B"
"202","1;2","E3","mTurquoise",218,"AT2G26780(A,B)+gRNA_r3","Set6_Leaf_B"
"203","1;2","E3","mScarlet",326,"AT2G26780(A,B)+gRNA_r3","Set6_Leaf_B"
"204","1;2","E3","YB_Ratio",15.0779816513761,"AT2G26780(A,B)+gRNA_r3","Set6_Leaf_B"
"205","1;2","E4","yfp",2601,"AT2G26780(A,B)+gRNA_r3","Set6_Leaf_B"
"206","1;2","E4","mTurquoise",126,"AT2G26780(A,B)+gRNA_r3","Set6_Leaf_B"
"207","1;2","E4","mScarlet",317,"AT2G26780(A,B)+gRNA_r3","Set6_Leaf_B"
"208","1;2","E4","YB_Ratio",20.6428571428571,"AT2G26780(A,B)+gRNA_r3","Set6_Leaf_B"
"209","1;2","E5","yfp",3037,"AT2G26780(A,B)+gRNA_r3","Set6_Leaf_C"
"210","1;2","E5","mTurquoise",85,"AT2G26780(A,B)+gRNA_r3","Set6_Leaf_C"
"211","1;2","E5","mScarlet",284,"AT2G26780(A,B)+gRNA_r3","Set6_Leaf_C"
"212","1;2","E5","YB_Ratio",35.7294117647059,"AT2G26780(A,B)+gRNA_r3","Set6_Leaf_C"
"213","1;2","E6","yfp",3667,"AT2G26780(A,B)+gRNA_r3","Set6_Leaf_C"
"214","1;2","E6","mTurquoise",50,"AT2G26780(A,B)+gRNA_r3","Set6_Leaf_C"
"215","1;2","E6","mScarlet",263,"AT2G26780(A,B)+gRNA_r3","Set6_Leaf_C"
"216","1;2","E6","YB_Ratio",73.34,"AT2G26780(A,B)+gRNA_r3","Set6_Leaf_C"
"217","1;2","E7","yfp",11462,"AT1G64550(E,A)+gRNA_r6","Set6_Leaf_D"
"218","1;2","E7","mTurquoise",121,"AT1G64550(E,A)+gRNA_r6","Set6_Leaf_D"
"219","1;2","E7","mScarlet",289,"AT1G64550(E,A)+gRNA_r6","Set6_Leaf_D"
"220","1;2","E7","YB_Ratio",94.7272727272727,"AT1G64550(E,A)+gRNA_r6","Set6_Leaf_D"
"221","1;2","E8","yfp",8960,"AT1G64550(E,A)+gRNA_r6","Set6_Leaf_D"
"222","1;2","E8","mTurquoise",125,"AT1G64550(E,A)+gRNA_r6","Set6_Leaf_D"
"223","1;2","E8","mScarlet",266,"AT1G64550(E,A)+gRNA_r6","Set6_Leaf_D"
